seller_id,category_id,product_id,product_name
10,33,96,Nintendo Switch Pro Controller
10,25,78,Samsung Galaxy Tab A 8.0
15,33,98,Nintendo Switch Pro Controller
12,22,75,Canon PowerShot SX420
1,22,90,Canon PowerShot SX420 IS
14,33,88,Minecraft
13,22,65,Sony DSCW800/B 20.1 MP
11,25,74,Dell ChromeBook 11
13,26,79,Martin Smith UK-222-A Soprano Ukulele
15,27,62,LifeStraw Personal Water Filter
9,35,88,Learn Python 3 the Hard Way
1,25,60,TP-Link AC1750 Smart WiFi Router
6,35,85,Python Cookbook Third edition
13,25,81,Apple Watch Series 5
4,25,77,Apple Watch Series 5
6,25,69,Dell ChromeBook 11
2,26,84,Martin Smith UK-222-A Soprano Ukulele
2,25,100,Samsung Galaxy Tab A 8.0
13,25,72,Acer Aspire 5 Slim Laptop
15,35,84,Learn Python 3 the Hard Way
3,35,63,Learn Python 3 the Hard Way
8,22,66,Canon PowerShot SX420 IS
2,27,87,LifeStraw Personal Water Filter
4,22,79,Canon PowerShot SX420 IS
5,33,72,Minecraft
8,33,88,Minecraft
6,35,80,Learn Python 3 the Hard Way
1,25,60,Acer Aspire 5 Slim Laptop
8,26,92,Martin Smith UK-222-A Soprano Ukulele
14,22,96,Canon PowerShot SX420
5,25,64,Dell ChromeBook 11
11,27,75,LifeStraw Personal Water Filter
15,22,80,Sony DSCW800/B 20.1 MP
10,25,74,Dell ChromeBook 11
2,25,90,Apple Watch Series 5
8,26,63,Martin Smith UK-222-A Soprano Ukulele
4,35,100,Python Cookbook Third edition
1,33,74,Nintendo Switch Pro Controller
4,27,96,LifeStraw Personal Water Filter
13,26,85,Martin Smith UK-222-A Soprano Ukulele
9,35,86,Learn Python 3 the Hard Way
9,25,75,Apple Watch Series 5
5,35,70,Learn Python 3 the Hard Way
10,33,84,Minecraft
8,33,77,Nintendo Switch Pro Controller
15,22,89,Canon PowerShot SX420
5,22,80,Canon PowerShot SX420 IS
12,27,66,LifeStraw Personal Water Filter
8,25,76,Samsung Galaxy Tab A 8.0
5,26,99,Martin Smith UK-222-A Soprano Ukulele
14,33,75,Minecraft
13,33,91,Oculus Rift S
10,33,70,Nintendo Switch Pro Controller
1,33,91,Minecraft
8,25,68,Apple Watch Series 5
12,25,75,TP-Link AC1750 Smart WiFi Router
7,35,71,Python Cookbook Third edition
9,25,61,Apple Watch Series 5
10,35,66,Learn Python 3 the Hard Way
13,25,83,Acer Aspire 5 Slim Laptop
10,35,71,Learn Python 3 the Hard Way
15,22,93,Canon PowerShot SX420
11,33,88,Oculus Rift S
2,26,84,Martin Smith UK-222-A Soprano Ukulele
2,25,89,TP-Link AC1750 Smart WiFi Router
2,25,82,Acer Aspire 5 Slim Laptop
1,27,69,LifeStraw Personal Water Filter
13,25,84,Dell ChromeBook 11
12,33,77,Nintendo Switch Pro Controller
7,35,84,Learn Python 3 the Hard Way
15,25,83,Samsung Galaxy Tab A 8.0
5,25,98,Samsung Galaxy Tab A 8.0
11,33,82,Luigi's Mansion 3
15,35,91,Learn Python 3 the Hard Way
1,22,79,Canon PowerShot SX420 IS
11,22,99,Canon PowerShot SX420
5,22,78,Canon PowerShot SX420 IS
1,35,81,Learn Python 3 the Hard Way
14,25,96,Dell ChromeBook 11
14,26,86,Martin Smith UK-222-A Soprano Ukulele
11,33,83,Minecraft
14,26,79,Martin Smith UK-222-A Soprano Ukulele
15,27,100,LifeStraw Personal Water Filter
9,27,99,LifeStraw Personal Water Filter
8,25,79,Apple Watch Series 5
12,26,83,Martin Smith UK-222-A Soprano Ukulele
9,25,64,Apple Watch Series 5
14,25,62,Dell ChromeBook 11
7,22,68,Canon PowerShot SX420 IS
7,33,88,Minecraft
1,25,66,Acer Aspire 5 Slim Laptop
11,22,92,Canon PowerShot SX420
2,25,80,Apple Watch Series 5
8,33,74,Luigi's Mansion 3
15,33,61,Oculus Rift S
6,22,74,Canon PowerShot SX420
6,33,83,Oculus Rift S
8,22,91,Canon PowerShot SX420
1,25,89,Dell ChromeBook 11
14,26,92,Martin Smith UK-222-A Soprano Ukulele
